Date,Close,High,Low,Open,Volume
23 January 2018,113.473465,113.4802955,110.9207457,111.1323276,7809645
24 January 2018,112.8728485,115.1593751,112.4974438,113.8147593,5904670
25 January 2018,112.9411163,113.8352574,112.7500041,113.2414402,3454415
26 January 2018,114.2174225,114.2652032,113.1594699,113.3847127,3962143
29 January 2018,113.848877,114.9341299,113.3096603,114.2925321,3678782
30 January 2018,111.6784058,113.8284318,111.3644427,113.4462074,5127806
31 January 2018,111.7330093,112.6134894,111.0914114,111.7671291,4260149
01 February 2018,110.8456802,112.0264839,110.5044062,111.3848861,4638173
02 February 2018,108.5454559,110.5726191,108.4362443,110.3678569,5493487
05 February 2018,104.1088943,108.1837012,102.3820549,107.7673463,9148944
06 February 2018,106.026886,106.1292671,101.7746159,102.5800257,10321614
07 February 2018,105.0099182,106.0269101,104.6208633,105.2283306,6432063
08 February 2018,101.7289734,105.5681891,101.6669377,105.0994946,7090939
09 February 2018,103.0523834,103.762323,99.53022152,102.4251398,8188402
12 February 2018,104.3551025,105.044371,103.5969117,104.0104683,6151944
13 February 2018,103.9070358,104.2034297,103.1419585,104.0104249,5115986
14 February 2018,106.6710358,106.8364606,103.3901189,103.521077,5731034
15 February 2018,107.5326233,108.1185025,105.9404105,107.1811024,5882286
16 February 2018,107.6497726,108.7594952,107.3120363,107.3258208,4479913
20 February 2018,106.9467392,107.4981517,106.0575903,107.380978,4696122
21 February 2018,106.1196213,108.0702416,106.0782568,107.1328415,3900116
22 February 2018,105.581955,106.8639999,105.313141,106.4917968,4209732
23 February 2018,107.1948547,107.4223042,106.1954082,106.3539462,3405881
26 February 2018,109.304039,109.5108173,107.1879828,107.3947611,3776374
27 February 2018,107.9048004,110.1311322,107.8910159,109.2213012,4432216
28 February 2018,107.4085617,109.0007747,107.3878905,108.559638,3978461
01 March 2018,106.0162277,108.1943197,105.3131749,107.2017706,4225108
02 March 2018,106.4849243,106.6710314,104.6859334,105.313166,3411111
05 March 2018,108.1805115,108.5527146,105.974851,106.2298804,3839448
06 March 2018,107.3327103,108.8284204,106.9467227,108.4079771,3855242
07 March 2018,109.1248169,109.4763378,106.6503423,106.8364493,4819654
08 March 2018,107.6704941,109.9864313,106.8847232,109.5935459,6752558
09 March 2018,109.8071976,109.9932936,108.4217742,108.5389478,5253221
12 March 2018,110.4619751,110.9858185,109.503893,110.0346341,5296421
13 March 2018,109.8140869,111.7371381,109.462555,110.3448171,4378138
14 March 2018,108.9869766,110.751501,108.7250494,110.3999691,3798863
15 March 2018,110.0139923,111.1443974,109.2626882,109.3936573,4048648
16 March 2018,110.4619751,111.6475177,110.0346341,110.3241193,9688784
19 March 2018,108.4562225,110.2069622,107.8358877,110.0828908,5734172
20 March 2018,107.663559,108.8559994,107.0363264,108.57339,4536188
21 March 2018,108.0013351,109.0421245,107.4705938,107.9186172,3642381
22 March 2018,104.8307114,107.0087927,104.7686757,106.8364811,4964630
23 March 2018,102.6250381,105.1684357,102.3837931,104.9409751,4645181
26 March 2018,105.7129517,105.9128322,103.583111,104.2241281,4292679
